NULL,X360-0002,2,NULL,2,NULL,NULL,NULL,images/X360-0002.jpg,  Afro Samurai,NULL,NULL,NULL,NULL
NULL,X360-0009,2,NULL,2,NULL,NULL,NULL,images/X360-0009.jpg,Assassin's Creed,NULL,NULL,NULL,NULL
NULL,X360-0010,2,NULL,2,NULL,NULL,NULL,images/X360-0010.jpg,Assassin's Creed 2,NULL,NULL,NULL,NULL
NULL,X360-0011,2,NULL,2,NULL,NULL,NULL,images/X360-0011.jpg,Avatar,NULL,NULL,NULL,NULL
NULL,X360-0014,2,NULL,2,NULL,NULL,NULL,images/X360-0014.jpg,Batman Arkham Asylum,NULL,NULL,NULL,NULL
NULL,X360-0015,2,NULL,2,NULL,NULL,NULL,images/X360-0015.jpg,Batman Arkham AsylumYear Edition,NULL,NULL,NULL,NULL
NULL,X360-0019,2,NULL,2,NULL,NULL,NULL,images/X360-0019.jpg,Bionic Commando,NULL,NULL,NULL,NULL
NULL,X360-0026,2,NULL,2,NULL,NULL,NULL,images/X360-0026.jpg,Brutal Legend,NULL,NULL,NULL,NULL
NULL,X360-0035,2,NULL,2,NULL,NULL,NULL,images/X360-0035.jpg,Crackdown,NULL,NULL,NULL,NULL
NULL,X360-0037,2,NULL,2,NULL,NULL,NULL,images/X360-0037.jpg,Dante's Inferno,NULL,NULL,NULL,NULL
NULL,X360-0040,2,NULL,2,NULL,NULL,NULL,images/X360-0040.jpg,Dark Siders,NULL,NULL,NULL,NULL
NULL,X360-0045,2,NULL,2,NULL,NULL,NULL,images/X360-0045.jpg,Devil May Cry 4,NULL,NULL,NULL,NULL
NULL,X360-0052,2,NULL,2,NULL,NULL,NULL,images/X360-0052.jpg,Dynasty Warriors 6 Empires,NULL,NULL,NULL,NULL
NULL,X360-0053,2,NULL,2,NULL,NULL,NULL,images/X360-0053.jpg,Dynasty Warriors Strike Force,NULL,NULL,NULL,NULL
NULL,X360-0058,2,NULL,2,NULL,NULL,NULL,images/X360-0058.jpg,Fable 2,NULL,NULL,NULL,NULL
NULL,X360-0059,2,NULL,2,NULL,NULL,NULL,images/X360-0059.jpg,Fable 2 Game of the Year Edition,NULL,NULL,NULL,NULL
NULL,X360-0069,2,NULL,2,NULL,NULL,NULL,images/X360-0069.jpg,GI JOE The Rise of Cobra,NULL,NULL,NULL,NULL
NULL,X360-0075,2,NULL,2,NULL,NULL,NULL,images/X360-0075.jpg,Ghostbusters,NULL,NULL,NULL,NULL
NULL,X360-0076,2,NULL,2,NULL,NULL,NULL,images/X360-0076.jpg,Grand Theft Auto 4,NULL,NULL,NULL,NULL
NULL,X360-0077,2,NULL,2,NULL,NULL,NULL,images/X360-0077.jpg,Grand Theft Auto Episodes From Liberty City,NULL,NULL,NULL,NULL
NULL,X360-0088,2,NULL,2,NULL,NULL,NULL,images/X360-0088.jpg,Harry Potter Y el Misterio del Principe,NULL,NULL,NULL,NULL
NULL,X360-0093,2,NULL,2,NULL,NULL,NULL,images/X360-0093.jpeg,Iron Man 2,NULL,NULL,NULL,NULL
NULL,X360-0110,2,NULL,2,NULL,NULL,NULL,images/X360-0110.jpg,Ultimate Alliance 2,NULL,NULL,NULL,NULL
NULL,X360-0130,2,NULL,2,NULL,NULL,NULL,images/X360-0130.jpg,Nier,NULL,NULL,NULL,NULL
NULL,X360-0131,2,NULL,2,NULL,NULL,NULL,images/X360-0131.jpg,Ninja Blade,NULL,NULL,NULL,NULL
NULL,X360-0132,2,NULL,2,NULL,NULL,NULL,images/X360-0132.jpg,Ninja Gaiden 2,NULL,NULL,NULL,NULL
NULL,X360-0134,2,NULL,2,NULL,NULL,NULL,images/X360-0134.jpg,Overlord 2,NULL,NULL,NULL,NULL
NULL,X360-0136,2,NULL,2,NULL,NULL,NULL,images/X360-0136.jpg,Prision Break,NULL,NULL,NULL,NULL
NULL,X360-0140,2,NULL,2,NULL,NULL,NULL,images/X360-0140.jpg,Prototype,NULL,NULL,NULL,NULL
NULL,X360-0148,2,NULL,2,NULL,NULL,NULL,images/X360-0148.jpg,Red Faction Guerrilla,NULL,NULL,NULL,NULL
NULL,X360-0151,2,NULL,2,NULL,NULL,NULL,images/X360-0151.jpg,Rise of the Argonauts,NULL,NULL,NULL,NULL
NULL,X360-0158,2,NULL,2,NULL,NULL,NULL,images/X360-0158.jpg,Rogue Warrior,NULL,NULL,NULL,NULL
NULL,X360-0162,2,NULL,2,NULL,NULL,NULL,images/X360-0162.jpg,Shadow Complex,NULL,NULL,NULL,NULL
